"","estado","producto","n","r"
"1","AGUASCALIENTES","FUD",12005,1
"2","AGUASCALIENTES","DETERGENTE P/ROPA",10188,2
"3","AGUASCALIENTES","LECHE ULTRAPASTEURIZADA",9824,3
"4","AGUASCALIENTES","SHAMPOO",9654,4
"5","AGUASCALIENTES","REFRESCO",9481,5
"6","AGUASCALIENTES","DESODORANTE",8859,6
"7","AGUASCALIENTES","JABON DE TOCADOR",8517,7
"8","AGUASCALIENTES","CHILES EN LATA",7946,8
"9","AGUASCALIENTES","YOGHURT",7401,9
"10","AGUASCALIENTES","MAYONESA",7173,10
"11","BAJA CALIFORNIA","REFRESCO",37243,1
"12","BAJA CALIFORNIA","DETERGENTE P/ROPA",23395,2
"13","BAJA CALIFORNIA","FUD",19967,3
"14","BAJA CALIFORNIA","SHAMPOO",19123,4
"15","BAJA CALIFORNIA","JABON DE TOCADOR",18348,5
"16","BAJA CALIFORNIA","CHILES EN LATA",16676,6
"17","BAJA CALIFORNIA","GALLETAS",15873,7
"18","BAJA CALIFORNIA","PANTALLAS",15703,8
"19","BAJA CALIFORNIA","CEREALES",15398,9
"20","BAJA CALIFORNIA","DESODORANTE",14748,10
"21","BAJA CALIFORNIA SUR","REFRESCO",27770,1
"22","BAJA CALIFORNIA SUR","FUD",17776,2
"23","BAJA CALIFORNIA SUR","PANTALLAS",17383,3
"24","BAJA CALIFORNIA SUR","DETERGENTE P/ROPA",15510,4
"25","BAJA CALIFORNIA SUR","LAVADORAS",13242,5
"26","BAJA CALIFORNIA SUR","SHAMPOO",12844,6
"27","BAJA CALIFORNIA SUR","JABON DE TOCADOR",12799,7
"28","BAJA CALIFORNIA SUR","CHILES EN LATA",11537,8
"29","BAJA CALIFORNIA SUR","PLANCHAS",11301,9
"30","BAJA CALIFORNIA SUR","COMPONENTES DE AUDIO",11036,10
"31","CAMPECHE","FUD",12960,1
"32","CAMPECHE","REFRESCO",11333,2
"33","CAMPECHE","PANTALLAS",10449,3
"34","CAMPECHE","LAVADORAS",9729,4
"35","CAMPECHE","DETERGENTE P/ROPA",8307,5
"36","CAMPECHE","LECHE ULTRAPASTEURIZADA",8027,6
"37","CAMPECHE","REFRIGERADORES",7572,7
"38","CAMPECHE","SHAMPOO",7560,8
"39","CAMPECHE","JABON DE TOCADOR",7543,9
"40","CAMPECHE","PLANCHAS",7139,10
"41","CHIAPAS","REFRESCO",14452,1
"42","CHIAPAS","FUD",10417,2
"43","CHIAPAS","DETERGENTE P/ROPA",8831,3
"44","CHIAPAS","PANTALLAS",8395,4
"45","CHIAPAS","JABON DE TOCADOR",7841,5
"46","CHIAPAS","CHILES EN LATA",7707,6
"47","CHIAPAS","SHAMPOO",7601,7
"48","CHIAPAS","LECHE ULTRAPASTEURIZADA",7278,8
"49","CHIAPAS","DESODORANTE",7038,9
"50","CHIAPAS","CERVEZA",6980,10
"51","CHIHUAHUA","DETERGENTE P/ROPA",15982,1
"52","CHIHUAHUA","FUD",14348,2
"53","CHIHUAHUA","CHILES EN LATA",14189,3
"54","CHIHUAHUA","SHAMPOO",14179,4
"55","CHIHUAHUA","JABON DE TOCADOR",13744,5
"56","CHIHUAHUA","REFRESCO",13554,6
"57","CHIHUAHUA","PANTALLAS",13064,7
"58","CHIHUAHUA","MAYONESA",12237,8
"59","CHIHUAHUA","DESODORANTE",11741,9
"60","CHIHUAHUA","LAVADORAS",11479,10
"61","COAHUILA DE ZARAGOZA","FUD",28613,1
"62","COAHUILA DE ZARAGOZA","REFRESCO",26889,2
"63","COAHUILA DE ZARAGOZA","DETERGENTE P/ROPA",26595,3
"64","COAHUILA DE ZARAGOZA","SHAMPOO",21202,4
"65","COAHUILA DE ZARAGOZA","LECHE ULTRAPASTEURIZADA",20848,5
"66","COAHUILA DE ZARAGOZA","PANTALLAS",20174,6
"67","COAHUILA DE ZARAGOZA","JABON DE TOCADOR",20013,7
"68","COAHUILA DE ZARAGOZA","LAVADORAS",19801,8
"69","COAHUILA DE ZARAGOZA","CHILES EN LATA",19541,9
"70","COAHUILA DE ZARAGOZA","MAYONESA",18843,10
"71","COLIMA","DETERGENTE P/ROPA",17193,1
"72","COLIMA","LECHE ULTRAPASTEURIZADA",14425,2
"73","COLIMA","REFRESCO",14383,3
"74","COLIMA","FUD",13757,4
"75","COLIMA","JABON DE TOCADOR",13298,5
"76","COLIMA","LAVADORAS",13235,6
"77","COLIMA","COMPONENTES DE AUDIO",13154,7
"78","COLIMA","PANTALLAS",13092,8
"79","COLIMA","CHILES EN LATA",12819,9
"80","COLIMA","SHAMPOO",12678,10
"81","DISTRITO FEDERAL","REFRESCO",287463,1
"82","DISTRITO FEDERAL","FUD",207569,2
"83","DISTRITO FEDERAL","LECHE ULTRAPASTEURIZADA",175640,3
"84","DISTRITO FEDERAL","DETERGENTE P/ROPA",173452,4
"85","DISTRITO FEDERAL","YOGHURT",136720,5
"86","DISTRITO FEDERAL","CERVEZA",136686,6
"87","DISTRITO FEDERAL","MAYONESA",131103,7
"88","DISTRITO FEDERAL","CHILES EN LATA",130598,8
"89","DISTRITO FEDERAL","JABON DE TOCADOR",129889,9
"90","DISTRITO FEDERAL","SHAMPOO",125603,10
"91","DURANGO","DETERGENTE P/ROPA",9696,1
"92","DURANGO","LAVADORAS",9644,2
"93","DURANGO","FUD",8866,3
"94","DURANGO","REFRESCO",8579,4
"95","DURANGO","PANTALLAS",8329,5
"96","DURANGO","SHAMPOO",8074,6
"97","DURANGO","COMPONENTES DE AUDIO",7876,7
"98","DURANGO","JABON DE TOCADOR",7778,8
"99","DURANGO","PLANCHAS",7732,9
"100","DURANGO","CHILES EN LATA",7425,10
"101","GUANAJUATO","REFRESCO",49441,1
"102","GUANAJUATO","DETERGENTE P/ROPA",36618,2
"103","GUANAJUATO","VARIOS",35278,3
"104","GUANAJUATO","FUD",33363,4
"105","GUANAJUATO","LECHE ULTRAPASTEURIZADA",32633,5
"106","GUANAJUATO","LAVADORAS",31037,6
"107","GUANAJUATO","CHILES EN LATA",27190,7
"108","GUANAJUATO","JABON DE TOCADOR",26788,8
"109","GUANAJUATO","SHAMPOO",26772,9
"110","GUANAJUATO","MAYONESA",25205,10
"111","GUERRERO","REFRESCO",8932,1
"112","GUERRERO","FUD",8846,2
"113","GUERRERO","DETERGENTE P/ROPA",6455,3
"114","GUERRERO","SHAMPOO",6283,4
"115","GUERRERO","LECHE ULTRAPASTEURIZADA",5837,5
"116","GUERRERO","DESODORANTE",5573,6
"117","GUERRERO","LAVADORAS",5389,7
"118","GUERRERO","CERVEZA",5289,8
"119","GUERRERO","JABON DE TOCADOR",5169,9
"120","GUERRERO","CHILES EN LATA",5020,10
"121","HIDALGO","REFRESCO",18137,1
"122","HIDALGO","LAVADORAS",16519,2
