"","estado","municipio","canasta_m","n"
"1","NUEVO LEÓN","GENERAL ESCOBEDO",15.2941176470588,1
"2","DISTRITO FEDERAL","MILPA ALTA",14.041726618705,1
"3","DISTRITO FEDERAL","TLAHUAC",13.9333492594362,1
"4","DISTRITO FEDERAL","CUAJIMALPA DE MORELOS",13.8424460431655,1
"5","JALISCO","TLAJOMULCO DE ZUÑIGA",12.8,1
"6","MICHOACÁN DE OCAMPO","URUAPAN",30.102642878455,10
"7","BAJA CALIFORNIA SUR","LA PAZ",29.6195161174755,10
"8","TAMAULIPAS","REYNOSA",29.4184127758196,10
"9","VERACRUZ DE IGNACIO DE LA LLAVE","ORIZABA",29.3837123398074,10
"10","BAJA CALIFORNIA","TIJUANA",29.3546392234402,10
"11","MÉXICO","LERMA",29.282047430022,10
"12","NAYARIT","TEPIC",29.1311139126386,10
"13","BAJA CALIFORNIA SUR","LOS CABOS",29.0663414780924,10
"14","SAN LUIS POTOSÍ","SAN LUIS POTOSI",29.0620128416182,10
"15","TAMAULIPAS","NUEVO LAREDO",29.0509081882985,10
"16","QUINTANA ROO","SOLIDARIDAD",29.0312836738346,10
"17","TAMAULIPAS","MATAMOROS",29.0302105884217,10
"18","SONORA","AGUA PRIETA",29.0142954856793,10
"19","GUERRERO","ACAPULCO DE JUAREZ",28.8945045120354,10
"20","CHIHUAHUA","CHIHUAHUA",28.783034614413,10
"21","VERACRUZ DE IGNACIO DE LA LLAVE","XALAPA",28.753154315482,10
"22","COAHUILA DE ZARAGOZA","PIEDRAS NEGRAS",28.7245230623116,10
"23","BAJA CALIFORNIA","MEXICALI",28.6624575442815,10
"24","SONORA","SAN LUIS RIO COLORADO",28.6598348581867,10
"25","BAJA CALIFORNIA","ENSENADA",28.649008674842,10
"26","SONORA","NOGALES",28.625910957208,10
"27","CAMPECHE","CARMEN",28.6119862613797,10
"28","CHIHUAHUA","OJINAGA",28.5485424102948,10
"29","VERACRUZ DE IGNACIO DE LA LLAVE","CORDOBA",28.5021348689757,10
"30","COAHUILA DE ZARAGOZA","TORREON",28.4713586783939,10
"31","QUINTANA ROO","OTHON P. BLANCO",28.4493583647466,10
"32","MORELOS","CUERNAVACA",28.4141225923517,10
"33","DURANGO","GOMEZ PALACIO",28.4031914829805,10
"34","QUINTANA ROO","COZUMEL",28.3608149491729,10
"35","COAHUILA DE ZARAGOZA","MONCLOVA",28.2927413590176,10
"36","CAMPECHE","CAMPECHE",28.2629931341454,10
"37","VERACRUZ DE IGNACIO DE LA LLAVE","BOCA DEL RIO",28.2464927066655,10
"38","MÉXICO","HUIXQUILUCAN",28.0755755112018,10
"39","HIDALGO","PACHUCA DE SOTO",28.0590701603896,10
"40","CHIHUAHUA","JUAREZ",28.0450919242042,10
"41","CHIAPAS","TUXTLA GUTIERREZ",27.69555726824,10
"42","DURANGO","DURANGO",27.6788381111544,10
"43","AGUASCALIENTES","AGUASCALIENTES",27.6433061691386,10
"44","CHIAPAS","TAPACHULA",27.6229199333788,10
"45","DISTRITO FEDERAL","MAGDALENA CONTRERAS",27.5042813340093,10
"46","COAHUILA DE ZARAGOZA","SALTILLO",27.4528391084377,10
"47","QUINTANA ROO","BENITO JUAREZ",27.4089874804953,10
"48","TABASCO","CARDENAS",27.3579604358629,10
"49","MÉXICO","NAUCALPAN",27.2914072522967,10
"50","DISTRITO FEDERAL","BENITO JUAREZ",27.2914042700476,10
"51","DISTRITO FEDERAL","ALVARO OBREGON",27.2683624470314,10
"52","DISTRITO FEDERAL","TLALPAN",27.2654653972931,10
"53","JALISCO","ZAPOPAN",27.1934538759485,10
"54","DISTRITO FEDERAL","AZCAPOTZALCO",27.1491269106788,10
"55","MÉXICO","COACALCO",27.1251796287803,10
"56","MÉXICO","CUAUTITLAN IZCALLI",27.0927028765665,10
"57","ZACATECAS","GUADALUPE",27.0870425153294,10
"58","DISTRITO FEDERAL","GUSTAVO A. MADERO",27.0479574056817,10
"59","DISTRITO FEDERAL","MIGUEL HIDALGO",26.961909008689,10
"60","NUEVO LEÓN","SAN NICOLAS DE LOS GARZA",26.95000909115,10
"61","DISTRITO FEDERAL","COYOACAN",26.9371061354908,10
"62","SONORA","HERMOSILLO",26.8826306429909,10
"63","JALISCO","TLAQUEPAQUE",26.8591734373058,10
"64","DISTRITO FEDERAL","VENUSTIANO CARRANZA",26.8557146835416,10
"65","MÉXICO","TLALNEPANTLA",26.835759549818,10
"66","NUEVO LEÓN","SAN PEDRO GARZA GARCIA",26.8271197851431,10
"67","VERACRUZ DE IGNACIO DE LA LLAVE","VERACRUZ",26.8190319561346,10
"68","YUCATÁN","MERIDA",26.78628467287,10
"69","COLIMA","VILLA DE ALVAREZ",26.7659801860953,10
"70","PUEBLA","PUEBLA",26.7330192719848,10
"71","QUERÉTARO","SANTIAGO DE QUERETARO",26.7188616668296,10
"72","DISTRITO FEDERAL","CUAUHTEMOC",26.6132446564874,10
"73","DISTRITO FEDERAL","IZTAPALAPA",26.5958908265509,10
"74","GUANAJUATO","LEON",26.5839303913992,10
"75","NUEVO LEÓN","MONTERREY",26.5834552339645,10
"76","MÉXICO","NEZAHUALCOYOTL",26.5763352969036,10
"77","TLAXCALA","APIZACO",26.5761998864274,10
"78","MÉXICO","METEPEC",26.5690883196379,10
"79","OAXACA","OAXACA DE JUAREZ",26.5628188344078,10
"80","COLIMA","COLIMA",26.5541709243992,10
"81","TABASCO","CENTRO",26.3498060135077,10
"82","JALISCO","TONALA",26.3169896853326,10
"83","MÉXICO","ECATEPEC",26.2980247836803,10
"84","MÉXICO","ATIZAPAN DE ZARAGOZA",26.2373369391267,10
"85","ZACATECAS","ZACATECAS",26.1973157081801,10
"86","MÉXICO","TOLUCA",26.1739428356054,10
"87","TLAXCALA","TLAXCALA",26.1642566269668,10
"88","MICHOACÁN DE OCAMPO","MORELIA",26.1191642737456,10
"89","SINALOA","CULIACAN",25.9399040058003,10
"90","JALISCO","GUADALAJARA",25.8886189726159,10
"91","NUEVO LEÓN","GUADALUPE",25.6820319673922,10
"92","SINALOA","GUASAVE",25.570863200638,10
"93","DISTRITO FEDERAL","XOCHIMILCO",25.5189829964918,10
"94","JALISCO","PUERTO VALLARTA",25.4007566916112,10
"95","NUEVO LEÓN","APODACA",25.3562944246619,10
"96","DISTRITO FEDERAL","IZTACALCO",25.3135825844008,10
"97","MÉXICO","TULTITLAN",25.088180719652,10
