"","latitud","longitud","cadenaComercial","categoria","anioR","mesR","precio_mean"
"1",21.079114,-101.617817,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,1,11
"2",21.079114,-101.617817,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,2,11
"3",21.079114,-101.617817,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,3,11
"4",21.079114,-101.617817,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,4,11
"5",21.079114,-101.617817,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,5,11
"6",21.079114,-101.617817,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,6,11
"7",21.079114,-101.617817,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,7,11
"8",21.079114,-101.617817,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,8,11
"9",21.079114,-101.617817,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,9,11
"10",21.079114,-101.617817,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,10,11
"11",21.079114,-101.617817,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,11,11
"12",21.079114,-101.617817,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,12,11
"13",21.079114,-101.617817,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2016,1,11
"14",21.079114,-101.617817,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2016,2,11
"15",21.079114,-101.617817,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2016,3,11.75
"16",21.079114,-101.617817,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2016,4,12
"17",21.079775,-101.616261,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,1,11
"18",21.079775,-101.616261,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,2,11
"19",21.079775,-101.616261,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,3,11
"20",21.079775,-101.616261,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,4,11
"21",21.079775,-101.616261,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,5,11
"22",21.079775,-101.616261,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,6,11
"23",21.079775,-101.616261,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,7,11
"24",21.079775,-101.616261,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,8,11
"25",21.079775,-101.616261,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,9,11
"26",21.079775,-101.616261,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,10,11
"27",21.079775,-101.616261,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,11,11
"28",21.079775,-101.616261,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,12,11
"29",21.079775,-101.616261,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2016,1,11
"30",21.079775,-101.616261,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2016,2,11
"31",21.079775,-101.616261,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2016,3,11.75
"32",21.079775,-101.616261,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2016,4,12
"33",21.079975,-101.620027,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,1,11
"34",21.079975,-101.620027,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,2,11
"35",21.079975,-101.620027,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,3,11
"36",21.079975,-101.620027,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,4,11
"37",21.079975,-101.620027,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,5,11
"38",21.079975,-101.620027,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,6,11
"39",21.079975,-101.620027,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,7,11
"40",21.079975,-101.620027,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,8,11
"41",21.079975,-101.620027,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,9,11
"42",21.079975,-101.620027,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,10,11
"43",21.079975,-101.620027,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,11,11
"44",21.079975,-101.620027,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,12,11
"45",21.079975,-101.620027,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2016,1,11
"46",21.079975,-101.620027,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2016,2,11
"47",21.079975,-101.620027,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2016,3,11.75
"48",21.079975,-101.620027,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2016,4,12
"49",21.08428,-101.616111,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,1,11
"50",21.08428,-101.616111,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,2,11
"51",21.08428,-101.616111,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,3,11
"52",21.08428,-101.616111,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,4,11
"53",21.08428,-101.616111,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,5,11
"54",21.08428,-101.616111,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,6,11
"55",21.08428,-101.616111,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,7,11
"56",21.08428,-101.616111,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,8,11
"57",21.08428,-101.616111,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,9,11
"58",21.08428,-101.616111,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,10,11
"59",21.08428,-101.616111,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,11,11
"60",21.08428,-101.616111,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,12,11
"61",21.08428,-101.616111,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2016,1,11
"62",21.08428,-101.616111,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2016,2,11
"63",21.08428,-101.616111,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2016,3,11.6666666666667
"64",21.08428,-101.616111,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2016,4,12
"65",21.088374,-101.632333,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,1,11
"66",21.088374,-101.632333,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,2,11
"67",21.088374,-101.632333,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,3,11
"68",21.088374,-101.632333,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,4,11.5
"69",21.088374,-101.632333,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,5,12
"70",21.088374,-101.632333,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,6,12
"71",21.088374,-101.632333,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,7,12
"72",21.088374,-101.632333,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,8,12
"73",21.088374,-101.632333,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,9,11
"74",21.088374,-101.632333,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,10,11
"75",21.088374,-101.632333,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,11,11
"76",21.088374,-101.632333,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,12,12
"77",21.088374,-101.632333,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2016,1,12
"78",21.088374,-101.632333,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2016,2,12
"79",21.088374,-101.632333,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2016,3,12
"80",21.088374,-101.632333,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2016,4,12
"81",21.090146,-101.630316,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,1,11
"82",21.090146,-101.630316,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,2,11
"83",21.090146,-101.630316,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,3,11
"84",21.090146,-101.630316,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,4,11.5
"85",21.090146,-101.630316,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,5,12
"86",21.090146,-101.630316,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,6,12
"87",21.090146,-101.630316,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,7,12
"88",21.090146,-101.630316,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,8,12
"89",21.090146,-101.630316,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,9,12
"90",21.090146,-101.630316,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,10,12
"91",21.090146,-101.630316,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,11,12
"92",21.090146,-101.630316,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,12,12
"93",21.090146,-101.630316,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2016,1,12
"94",21.090146,-101.630316,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2016,2,12
"95",21.090146,-101.630316,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2016,3,12
"96",21.090146,-101.630316,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2016,4,12
"97",21.091357,-101.626818,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,1,11
"98",21.091357,-101.626818,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,2,11
"99",21.091357,-101.626818,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,3,11
"100",21.091357,-101.626818,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,4,11
"101",21.091357,-101.626818,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,5,11
"102",21.091357,-101.626818,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,6,11
"103",21.091357,-101.626818,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,7,11
"104",21.091357,-101.626818,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,8,11
"105",21.091357,-101.626818,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,9,11
"106",21.091357,-101.626818,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,10,11
"107",21.091357,-101.626818,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,11,11
"108",21.091357,-101.626818,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2015,12,11
"109",21.091357,-101.626818,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2016,1,11
"110",21.091357,-101.626818,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2016,2,11
"111",21.091357,-101.626818,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2016,3,11
"112",21.091357,-101.626818,"TORTILLERIAS TRADICIONALES","TORTILLAS Y DERIVADOS DEL MAIZ",2016,4,11.2
