"","nom_ent","mun","nom_mun","loc","ageb","p_15a49_f"
"1","México",106,"Toluca",1,"0307",1269
"2","México",106,"Toluca",1,"0330",1362
"3","México",106,"Toluca",1,"0345",938
"4","México",106,"Toluca",1,"035A",1558
"5","México",106,"Toluca",1,"0379",1572
"6","México",106,"Toluca",1,"0383",618
"7","México",106,"Toluca",1,"0398",793
"8","México",106,"Toluca",1,"0400",799
"9","México",106,"Toluca",1,"0415",648
"10","México",106,"Toluca",1,"042A",952
"11","México",106,"Toluca",1,"0434",1061
"12","México",106,"Toluca",1,"0449",1218
"13","México",106,"Toluca",1,"0453",456
"14","México",106,"Toluca",1,"0468",832
"15","México",106,"Toluca",1,"0472",237
"16","México",106,"Toluca",1,"0487",967
"17","México",106,"Toluca",1,"0491",876
"18","México",106,"Toluca",1,"0504",1154
"19","México",106,"Toluca",1,"0519",403
"20","México",106,"Toluca",1,"0523",921
"21","México",106,"Toluca",1,"0538",581
"22","México",106,"Toluca",1,"0542",630
"23","México",106,"Toluca",1,"0557",1038
"24","México",106,"Toluca",1,"0561",1673
"25","México",106,"Toluca",1,"0576",921
"26","México",106,"Toluca",1,"0580",389
"27","México",106,"Toluca",1,"0595",401
"28","México",106,"Toluca",1,"0608",832
"29","México",106,"Toluca",1,"0631",758
"30","México",106,"Toluca",1,"0646",1848
"31","México",106,"Toluca",1,"0699",1372
"32","México",106,"Toluca",1,"0701",1798
"33","México",106,"Toluca",1,"0754",1960
"34","México",106,"Toluca",1,"0769",400
"35","México",106,"Toluca",1,"0773",381
"36","México",106,"Toluca",1,"0788",1500
"37","México",106,"Toluca",1,"0824",269
"38","México",106,"Toluca",1,"0858",1535
"39","México",106,"Toluca",1,"0862",2872
"40","México",106,"Toluca",1,"0896",2418
"41","México",106,"Toluca",1,"0909",1409
"42","México",106,"Toluca",1,"0913",1226
"43","México",106,"Toluca",1,"1023",989
"44","México",106,"Toluca",1,"1038",198
"45","México",106,"Toluca",1,"1061",1456
"46","México",106,"Toluca",1,"1254",945
"47","México",106,"Toluca",1,"1555",922
"48","México",106,"Toluca",1,"156A",1505
"49","México",106,"Toluca",1,"1606",583
"50","México",106,"Toluca",1,"1610",70
"51","México",106,"Toluca",1,"1625",340
"52","México",106,"Toluca",1,"163A",63
"53","México",106,"Toluca",1,"1663",292
"54","México",106,"Toluca",1,"1678",368
"55","México",106,"Toluca",1,"1682",1779
"56","México",106,"Toluca",1,"1697",421
"57","México",106,"Toluca",1,"1856",1859
"58","México",106,"Toluca",1,"1860",1548
"59","México",106,"Toluca",1,"188A",1625
"60","México",106,"Toluca",1,"1894",1760
"61","México",106,"Toluca",1,"1907",2108
"62","México",106,"Toluca",1,"1911",1708
"63","México",106,"Toluca",1,"1926",978
"64","México",106,"Toluca",1,"1930",1095
"65","México",106,"Toluca",1,"1945",1018
"66","México",106,"Toluca",1,"195A",987
"67","México",106,"Toluca",1,"1979",1260
"68","México",106,"Toluca",1,"1983",2000
"69","México",106,"Toluca",1,"1998",1563
"70","México",106,"Toluca",1,"2017",1212
"71","México",106,"Toluca",1,"2021",967
"72","México",106,"Toluca",1,"2036",799
"73","México",106,"Toluca",1,"2040",1165
"74","México",106,"Toluca",1,"2055",1498
"75","México",106,"Toluca",1,"206A",802
"76","México",106,"Toluca",1,"2074",1402
"77","México",106,"Toluca",1,"2089",1169
"78","México",106,"Toluca",1,"2106",1044
"79","México",106,"Toluca",1,"2110",714
"80","México",106,"Toluca",1,"2125",330
"81","México",106,"Toluca",1,"213A",499
"82","México",106,"Toluca",1,"2144",856
"83","México",106,"Toluca",1,"2159",532
"84","México",106,"Toluca",1,"2214",1040
